id,description,listing_date,list_type,price,status,agent_id,property_id
10000001,Cozy apartment for sale,2016-05-12,SELL,42280000,INACTIVE,NULL,50000196
10000002,Modern house for sale,2018-12-23,SELL,44450000,ACTIVE,NULL,50000061
10000003,Spacious property for sale,2016-02-11,SELL,39870000,INACTIVE,10000128,50000023
10000004,Luxury villa for sale,2023-06-29,SELL,1590000,ACTIVE,10000128,50000179
10000005,Spacious property for sale,2022-05-03,SELL,36620000,ACTIVE,10000138,50000099
10000006,Modern house for sale,2019-05-11,SELL,45290000,ACTIVE,NULL,50000142
10000007,Spacious property for sale,2019-06-21,SELL,5760000,INACTIVE,10000016,50000101
10000008,Modern house for sale,2017-10-25,SELL,10410000,ACTIVE,NULL,50000189
10000009,Cozy apartment for sale,2018-01-31,SELL,40400000,INACTIVE,10000120,50000183
10000010,Spacious property for sale,2016-05-03,SELL,2010000,INACTIVE,10000088,50000069
10000011,Modern house for rent,2019-08-01,RENT,33000,INACTIVE,NULL,50000124
10000012,Spacious property for sale,2023-12-29,SELL,31360000,ACTIVE,10000073,50000179
10000013,Cozy apartment for rent,2018-04-14,RENT,80000,INACTIVE,10000077,50000102
10000014,Spacious property for rent,2019-10-11,RENT,64000,ACTIVE,10000088,50000142
10000015,Modern house for sale,2017-09-14,SELL,22220000,INACTIVE,10000016,50000166
10000016,Luxury villa for sale,2022-06-03,SELL,19480000,INACTIVE,10000120,50000035
10000017,Modern house for sale,2020-03-25,SELL,42520000,INACTIVE,NULL,50000135
10000018,Modern house for sale,2021-05-09,SELL,43310000,ACTIVE,10000086,50000187
10000019,Modern house for rent,2018-03-20,RENT,84000,INACTIVE,10000120,50000027
10000020,Spacious property for rent,2019-01-01,RENT,84000,INACTIVE,10000106,50000188
10000021,Modern house for rent,2017-02-21,RENT,63000,ACTIVE,10000061,50000051
10000022,Affordable studio for rent,2021-05-16,RENT,88000,INACTIVE,10000077,50000186
10000023,Luxury villa for sale,2021-12-14,SELL,43270000,INACTIVE,10000003,50000122
10000024,Spacious property for rent,2022-04-07,RENT,79000,INACTIVE,10000073,50000064
