PID,OwnerID,OfficeID,HouseNo,Locality,Area,City,Pin,Size,Type,BHK,Year Built,Description
50000001,10000024,100003,C-36,Fancy Bazaar,Laxmi Ganj,Guwahati,781001,2495,APARTMENT,6,2025,"Premium 6 BHK APARTMENT in Laxmi Ganj, Guwahati. Built in 2025 with 2495 sq ft area."
50000002,10000059,100003,D-49,Charbagh,Gomti Nagar,Lucknow,226001,2696,APARTMENT,4,2020,"Premium 4 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2020 with 2696 sq ft area."
50000003,10000042,100005,E-62,Rohini,Connaught Place,New Delhi,110001,2636,FLAT,4,2019,"Premium 4 BHK FLAT in Connaught Place, New Delhi. Built in 2019 with 2636 sq ft area."
50000004,10000012,100002,F-75,Ganeshguri,Paltan Bazaar,Guwahati,781001,1955,FLAT,2,2016,"Premium 2 BHK FLAT in Paltan Bazaar, Guwahati. Built in 2016 with 1955 sq ft area."
50000005,10000041,100003,G-88,Charbagh,Indira Nagar,Lucknow,226001,1073,FLAT,5,2020,"Premium 5 BHK FLAT in Indira Nagar, Lucknow. Built in 2020 with 1073 sq ft area."
50000006,10000079,100005,H-101,Karol Bagh,Vasant Kunj,New Delhi,110001,2377,APARTMENT,2,2025,"Premium 2 BHK APARTMENT in Vasant Kunj, New Delhi. Built in 2025 with 2377 sq ft area."
50000007,10000066,100002,I-114,Hauz Khas,Connaught Place,New Delhi,110001,1736,FLAT,6,2016,"Premium 6 BHK FLAT in Connaught Place, New Delhi. Built in 2016 with 1736 sq ft area."
50000008,10000099,100003,J-127,Bada,Morar,Gwalior,474001,2880,APARTMENT,1,2019,"Premium 1 BHK APARTMENT in Morar, Gwalior. Built in 2019 with 2880 sq ft area."
50000009,10000004,100004,K-140,Thatipur,City Center,Gwalior,474001,2357,APARTMENT,4,2019,"Premium 4 BHK APARTMENT in City Center, Gwalior. Built in 2019 with 2357 sq ft area."
50000010,10000085,100005,L-153,Phool Bagh,Morar,Gwalior,474001,1286,FLAT,3,2022,"Premium 3 BHK FLAT in Morar, Gwalior. Built in 2022 with 1286 sq ft area."
50000011,10000085,100004,M-166,Thatipur,City Center,Gwalior,474001,1685,APARTMENT,4,2014,"Premium 4 BHK APARTMENT in City Center, Gwalior. Built in 2014 with 1685 sq ft area."
50000012,10000099,100002,N-179,Pinto Park,Lashkar,Gwalior,474001,1560,FLAT,2,2025,"Premium 2 BHK FLAT in Lashkar, Gwalior. Built in 2025 with 1560 sq ft area."
50000013,10000060,100003,O-192,Bada,City Center,Gwalior,474001,600,FLAT,6,2018,"Premium 6 BHK FLAT in City Center, Gwalior. Built in 2018 with 600 sq ft area."
50000014,10000079,100002,P-205,Malad,Andheri,Mumbai,400001,1828,APARTMENT,5,2022,"Premium 5 BHK APARTMENT in Andheri, Mumbai. Built in 2022 with 1828 sq ft area."
50000015,10000047,100003,Q-218,Phool Bagh,City Center,Gwalior,474001,525,FLAT,2,2022,"Premium 2 BHK FLAT in City Center, Gwalior. Built in 2022 with 525 sq ft area."
50000016,10000098,100002,R-231,Fancy Bazaar,Laxmi Ganj,Guwahati,781001,1542,FLAT,4,2017,"Premium 4 BHK FLAT in Laxmi Ganj, Guwahati. Built in 2017 with 1542 sq ft area."
50000017,10000127,100002,S-244,Aminabad,Gomti Nagar,Lucknow,226001,1205,APARTMENT,5,2019,"Premium 5 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2019 with 1205 sq ft area."
50000018,10000114,100006,T-257,Bada,City Center,Gwalior,474001,1946,APARTMENT,4,2025,"Premium 4 BHK APARTMENT in City Center, Gwalior. Built in 2025 with 1946 sq ft area."
50000019,10000127,100004,U-270,Ganeshguri,Laxmi Ganj,Guwahati,781001,1348,FLAT,5,2025,"Premium 5 BHK FLAT in Laxmi Ganj, Guwahati. Built in 2025 with 1348 sq ft area."
50000020,10000100,100005,V-283,Karol Bagh,Dwarka,New Delhi,110001,2563,FLAT,2,2014,"Premium 2 BHK FLAT in Dwarka, New Delhi. Built in 2014 with 2563 sq ft area."
50000021,10000118,100006,W-296,Dispur,Paltan Bazaar,Guwahati,781001,2253,APARTMENT,2,2017,"Premium 2 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2017 with 2253 sq ft area."
50000022,10000140,100004,X-309,Saket,Dwarka,New Delhi,110001,972,FLAT,5,2015,"Premium 5 BHK FLAT in Dwarka, New Delhi. Built in 2015 with 972 sq ft area."
50000023,10000107,100004,Y-322,Beltola,Uzan Bazaar,Guwahati,781001,2823,FLAT,6,2024,"Premium 6 BHK FLAT in Uzan Bazaar, Guwahati. Built in 2024 with 2823 sq ft area."
50000024,10000007,100003,Z-335,Rajouri Garden,Dwarka,New Delhi,110001,1600,FLAT,2,2022,"Premium 2 BHK FLAT in Dwarka, New Delhi. Built in 2022 with 1600 sq ft area."
50000025,10000089,100005,A-348,Mahanagar,Indira Nagar,Lucknow,226001,2785,APARTMENT,5,2020,"Premium 5 BHK APARTMENT in Indira Nagar, Lucknow. Built in 2020 with 2785 sq ft area."
50000026,10000024,100005,B-361,Hauz Khas,Vasant Kunj,New Delhi,110001,1431,FLAT,2,2020,"Premium 2 BHK FLAT in Vasant Kunj, New Delhi. Built in 2020 with 1431 sq ft area."
50000027,10000029,100004,C-374,Worli,Colaba,Mumbai,400001,606,FLAT,6,2024,"Premium 6 BHK FLAT in Colaba, Mumbai. Built in 2024 with 606 sq ft area."
50000028,10000124,100002,D-387,Maligaon,Paltan Bazaar,Guwahati,781001,2290,APARTMENT,2,2017,"Premium 2 BHK APARTMENT in Paltan Bazaar, Guwahati. Built in 2017 with 2290 sq ft area."
50000029,10000081,100004,E-400,Dabra,Morar,Gwalior,474001,676,APARTMENT,4,2021,"Premium 4 BHK APARTMENT in Morar, Gwalior. Built in 2021 with 676 sq ft area."
50000030,10000141,100006,F-413,Rohini,Connaught Place,New Delhi,110001,2143,APARTMENT,4,2023,"Premium 4 BHK APARTMENT in Connaught Place, New Delhi. Built in 2023 with 2143 sq ft area."
50000031,10000090,100003,G-426,Thatipur,Lashkar,Gwalior,474001,1540,FLAT,6,2020,"Premium 6 BHK FLAT in Lashkar, Gwalior. Built in 2020 with 1540 sq ft area."
50000032,10000114,100003,H-439,Ganeshguri,Uzan Bazaar,Guwahati,781001,2816,APARTMENT,3,2023,"Premium 3 BHK APARTMENT in Uzan Bazaar, Guwahati. Built in 2023 with 2816 sq ft area."
50000033,10000047,100003,I-452,Vikas Nagar,Indira Nagar,Lucknow,226001,1622,APARTMENT,4,2020,"Premium 4 BHK APARTMENT in Indira Nagar, Lucknow. Built in 2020 with 1622 sq ft area."
50000034,10000001,100006,J-465,Powai,Colaba,Mumbai,400001,1962,APARTMENT,5,2014,"Premium 5 BHK APARTMENT in Colaba, Mumbai. Built in 2014 with 1962 sq ft area."
50000035,10000104,100003,K-478,Beltola,Uzan Bazaar,Guwahati,781001,1370,FLAT,1,2020,"Premium 1 BHK FLAT in Uzan Bazaar, Guwahati. Built in 2020 with 1370 sq ft area."
