TokenID,PID,AID,ListingDate,ListType,Price,Description,Status
100000001,100000025,1000000029,2023-02-15,Sell,5450000,Cozy apartment for sale,open
100000002,100000014,1000000028,2023-01-13,Rent,26200,Modern house for rent,open
100000003,100000023,1000000006,2023-02-03,Sell,5330000,Luxury villa for sale,open
100000004,100000025,1000000021,2023-01-09,Rent,25800,Affordable studio for rent,open
100000005,100000037,1000000044,2023-02-26,Rent,30600,Furnished flat for rent,open
100000006,100000024,1000000037,2023-01-22,Sell,5210000,Unfurnished room for sale,open
100000007,100000002,1000000032,2023-02-19,Sell,5490000,Pet-friendly home for sale,open
100000008,100000007,1000000014,2023-01-03,Rent,25200,Centrally located apartment,closed
100000009,100000037,1000000033,2023-01-19,Rent,26800,Quiet neighborhood house,closed
100000010,100000019,1000000018,2023-02-07,Sell,5370000,Spacious property for sale,open
100000011,100000012,1000000018,2023-01-06,Sell,5050000,Cozy apartment for sale,closed
100000012,100000021,1000000049,2023-01-30,Sell,5290000,Modern house for sale,open
100000013,100000010,1000000025,2023-02-12,Rent,29200,Spacious property for rent,open
100000014,100000005,,2023-01-16,Sell,5150000,Luxury villa for sale,closed
100000015,100000012,,2023-02-21,Sell,5510000,Affordable studio for sale,open
100000016,100000008,1000000044,2023-01-25,Rent,27400,Cozy apartment for rent,closed
100000017,100000018,,2023-01-08,Sell,5070000,Furnished flat for sale,open
100000018,100000033,,2023-02-09,Sell,5390000,Unfurnished room for sale,open
100000019,100000040,,2023-01-12,Sell,5110000,Pet-friendly home for sale,closed
100000020,100000008,1000000046,2023-02-28,Rent,30800,Modern house for rent,open
100000021,100000031,,2023-02-01,Sell,5310000,Centrally located apartment for sale,open
100000022,100000015,1000000002,2023-01-01,Rent,25000,Luxury villa for rent,open
100000023,100000039,1000000046,2023-01-27,Rent,27600,Affordable studio for rent,open
100000024,100000035,,2023-02-17,Sell,5470000,Quiet neighborhood house for sale,open
100000025,100000032,1000000030,2023-01-15,Rent,26400,Furnished flat for rent,open
100000026,100000011,,2023-02-05,Sell,5350000,Spacious property for sale,open
100000027,100000004,1000000023,2023-01-10,Sell,5090000,Cozy apartment for sale,open
100000028,100000022,1000000037,2023-02-23,Sell,5530000,Modern house for sale,open
100000029,100000029,1000000042,2023-01-23,Rent,27200,Unfurnished room for rent,open
100000030,100000001,1000000021,2023-02-10,Rent,29000,Pet-friendly home for rent,open
100000031,100000030,,2023-01-04,Sell,5030000,Luxury villa for sale,open
100000032,100000040,1000000031,2023-02-18,Rent,29800,Centrally located apartment,open
100000033,100000010,1000000032,2023-01-18,Sell,5170000,Affordable studio for sale,open
100000034,100000035,1000000050,2023-01-01,Rent,28000,Quiet neighborhood house,closed
100000035,100000032,,2023-02-25,Sell,5550000,Furnished flat for sale,open
100000036,100000003,,2023-01-28,Sell,5270000,Unfurnished room for sale,closed
100000037,100000022,1000000006,2023-01-02,Sell,5010000,Pet-friendly home for sale,closed
100000038,100000020,1000000028,2023-02-14,Rent,29400,Spacious property for rent,open
100000039,100000002,,2023-01-20,Sell,5190000,Centrally located apartment for sale,closed
100000040,100000026,1000000016,2023-02-06,Rent,28600,Cozy apartment for rent,open
100000041,100000009,1000000025,2023-01-11,Rent,26000,Modern house for rent,open
100000042,100000007,1000000033,2023-02-20,Rent,30000,Luxury villa for rent,open
100000043,100000013,1000000045,2023-01-26,Sell,5250000,Quiet neighborhood house for sale,closed
100000044,100000005,1000000023,2023-02-11,Sell,5410000,Spacious property for sale,open
100000045,100000035,1000000019,2023-01-07,Rent,25600,Affordable studio for rent,open
100000046,100000006,1000000002,2023-02-02,Rent,28200,Furnished flat for rent,open
100000047,100000013,,2023-03-01,Sell,5590000,Cozy apartment for sale,open
100000048,100000020,1000000031,2023-01-17,Rent,26600,Unfurnished room for rent,closed
100000049,100000015,,2023-02-13,Sell,5430000,Modern house for sale,open
100000050,100000028,1000000048,2023-01-29,Rent,27800,Pet-friendly home for rent,open
100000051,100000027,1000000042,2023-02-24,Rent,30400,Centrally located apartment,open
100000052,100000040,1000000029,2023-01-14,Sell,5130000,Luxury villa for sale,open
100000053,100000038,1000000019,2023-02-08,Rent,28800,Quiet neighborhood house,open
100000054,100000034,,2023-01-24,Sell,5230000,Affordable studio for sale,open
100000055,100000017,1000000035,2023-02-22,Rent,30200,Spacious property for rent,open
100000056,100000036,1000000014,2023-02-04,Rent,28400,Cozy apartment for rent,open
100000057,100000001,1000000016,2023-01-05,Rent,25400,Modern house for rent,closed
100000058,100000030,1000000030,2023-02-16,Rent,29600,Luxury villa for rent,open
100000059,100000017,1000000035,2023-01-21,Rent,27000,Affordable studio for rent,closed
100000060,100000003,1000000045,2023-02-27,Sell,5570000,Furnished flat for sale,open
