TokenID,PID,AID,ListingDate,ListType,Price,Description,Status
100000001,100000025,1000000029,15-02-2023,SELL,5450000,Cozy apartment for sale,INACTIVE
100000002,100000014,1000000028,13-01-2023,RENT,26200,Modern house for rent,INACTIVE
100000003,100000023,1000000006,03-02-2023,SELL,5330000,Luxury villa for sale,INACTIVE
100000004,100000025,1000000021,09-01-2023,RENT,25800,Affordable studio for rent,INACTIVE
100000005,100000037,1000000044,26-02-2023,RENT,30600,Furnished flat for rent,ACTIVE
100000006,100000024,1000000037,22-01-2023,SELL,5210000,Unfurnished room for sale,INACTIVE
100000007,100000002,1000000032,19-02-2023,SELL,5490000,Pet-friendly home for sale,ACTIVE
100000008,100000007,1000000014,03-01-2023,RENT,25200,Centrally located apartment,ACTIVE
100000009,100000037,1000000033,19-01-2023,RENT,26800,Quiet neighborhood house,ACTIVE
100000010,100000019,1000000018,07-02-2023,SELL,5370000,Spacious property for sale,ACTIVE
100000011,100000012,1000000018,06-01-2023,SELL,5050000,Cozy apartment for sale,INACTIVE
100000012,100000021,1000000049,30-01-2023,SELL,5290000,Modern house for sale,ACTIVE
100000013,100000010,1000000025,12-02-2023,RENT,29200,Spacious property for rent,ACTIVE
100000014,100000005,NULL,16-01-2023,SELL,5150000,Luxury villa for sale,ACTIVE
100000015,100000012,NULL,21-02-2023,SELL,5510000,Affordable studio for sale,ACTIVE
100000016,100000008,1000000044,25-01-2023,RENT,27400,Cozy apartment for rent,ACTIVE
100000017,100000018,NULL,08-01-2023,SELL,5070000,Furnished flat for sale,INACTIVE
100000018,100000033,NULL,09-02-2023,SELL,5390000,Unfurnished room for sale,ACTIVE
100000019,100000040,NULL,12-01-2023,SELL,5110000,Pet-friendly home for sale,ACTIVE
100000020,100000008,1000000046,28-02-2023,RENT,30800,Modern house for rent,ACTIVE
100000021,100000031,NULL,01-02-2023,SELL,5310000,Centrally located apartment for sale,ACTIVE
100000022,100000015,1000000002,01-01-2023,RENT,25000,Luxury villa for rent,ACTIVE
100000023,100000039,1000000046,27-01-2023,RENT,27600,Affordable studio for rent,INACTIVE
100000024,100000035,NULL,17-02-2023,SELL,5470000,Quiet neighborhood house for sale,ACTIVE
100000025,100000032,1000000030,15-01-2023,RENT,26400,Furnished flat for rent,INACTIVE
100000026,100000011,NULL,05-02-2023,SELL,5350000,Spacious property for sale,INACTIVE
100000027,100000004,1000000023,10-01-2023,SELL,5090000,Cozy apartment for sale,INACTIVE
100000028,100000022,1000000037,23-02-2023,SELL,5530000,Modern house for sale,ACTIVE
100000029,100000029,1000000042,23-01-2023,RENT,27200,Unfurnished room for rent,ACTIVE
100000030,100000001,1000000021,10-02-2023,RENT,29000,Pet-friendly home for rent,INACTIVE
100000031,100000030,NULL,04-01-2023,SELL,5030000,Luxury villa for sale,ACTIVE
100000032,100000040,1000000031,18-02-2023,RENT,29800,Centrally located apartment,ACTIVE
100000033,100000010,1000000032,18-01-2023,SELL,5170000,Affordable studio for sale,ACTIVE
100000034,100000035,1000000050,01-01-2023,RENT,28000,Quiet neighborhood house,INACTIVE
100000035,100000032,NULL,25-02-2023,SELL,5550000,Furnished flat for sale,INACTIVE
100000036,100000003,NULL,28-01-2023,SELL,5270000,Unfurnished room for sale,INACTIVE
100000037,100000022,1000000006,02-01-2023,SELL,5010000,Pet-friendly home for sale,INACTIVE
100000038,100000020,1000000028,14-02-2023,RENT,29400,Spacious property for rent,INACTIVE
100000039,100000002,NULL,20-01-2023,SELL,5190000,Centrally located apartment for sale,ACTIVE
100000040,100000026,1000000016,06-02-2023,RENT,28600,Cozy apartment for rent,INACTIVE
100000041,100000009,1000000025,11-01-2023,RENT,26000,Modern house for rent,ACTIVE
100000042,100000007,1000000033,20-02-2023,RENT,30000,Luxury villa for rent,INACTIVE
100000043,100000013,1000000045,26-01-2023,SELL,5250000,Quiet neighborhood house for sale,ACTIVE
100000044,100000005,1000000023,11-02-2023,SELL,5410000,Spacious property for sale,INACTIVE
100000045,100000035,1000000019,07-01-2023,RENT,25600,Affordable studio for rent,ACTIVE
100000046,100000006,1000000002,02-02-2023,RENT,28200,Furnished flat for rent,ACTIVE
100000047,100000013,NULL,01-03-2023,SELL,5590000,Cozy apartment for sale,ACTIVE
100000048,100000020,1000000031,17-01-2023,RENT,26600,Unfurnished room for rent,INACTIVE
100000049,100000015,NULL,13-02-2023,SELL,5430000,Modern house for sale,ACTIVE
100000050,100000028,1000000048,29-01-2023,RENT,27800,Pet-friendly home for rent,ACTIVE
100000051,100000027,1000000042,24-02-2023,RENT,30400,Centrally located apartment,ACTIVE
100000052,100000040,1000000029,14-01-2023,SELL,5130000,Luxury villa for sale,INACTIVE
100000053,100000038,1000000019,08-02-2023,RENT,28800,Quiet neighborhood house,ACTIVE
100000054,100000034,NULL,24-01-2023,SELL,5230000,Affordable studio for sale,ACTIVE
100000055,100000017,1000000035,22-02-2023,RENT,30200,Spacious property for rent,ACTIVE
100000056,100000036,1000000014,04-02-2023,RENT,28400,Cozy apartment for rent,ACTIVE
100000057,100000001,1000000016,05-01-2023,RENT,25400,Modern house for rent,ACTIVE
100000058,100000030,1000000030,16-02-2023,RENT,29600,Luxury villa for rent,INACTIVE
100000059,100000017,1000000035,21-01-2023,RENT,27000,Affordable studio for rent,ACTIVE
100000060,100000003,1000000045,27-02-2023,SELL,5570000,Furnished flat for sale,INACTIVE
,,,,, ,,
