id,bhk,area,city,description,house_no,locality,pin,size,type,year_built,office_id,owner_id
50000001,6,Laxmi Ganj,Guwahati,"Premium 6 BHK APARTMENT in Laxmi Ganj, Guwahati. Built in 2025 with 2495 sq ft area.",C-36,Fancy Bazaar,781001,2495,APARTMENT,2025,100003,10000122
50000002,4,Gomti Nagar,Lucknow,"Premium 4 BHK APARTMENT in Gomti Nagar, Lucknow. Built in 2020 with 2696 sq ft area.",D-49,Charbagh,226001,2696,APARTMENT,2020,100003,10000059
50000003,4,Connaught Place,New Delhi,"Premium 4 BHK FLAT in Connaught Place, New Delhi. Built in 2019 with 2636 sq ft area.",E-62,Rohini,110001,2636,FLAT,2019,100005,10000042
50000004,2,Paltan Bazaar,Guwahati,"Premium 2 BHK FLAT in Paltan Bazaar, Guwahati. Built in 2016 with 1955 sq ft area.",F-75,Ganeshguri,781001,1955,FLAT,2016,100002,10000012
50000005,5,Indira Nagar,Lucknow,"Premium 5 BHK FLAT in Indira Nagar, Lucknow. Built in 2020 with 1073 sq ft area.",G-88,Charbagh,226001,1073,FLAT,2020,100003,10000127
50000006,2,Vasant Kunj,New Delhi,"Premium 2 BHK APARTMENT in Vasant Kunj, New Delhi. Built in 2025 with 2377 sq ft area.",H-101,Karol Bagh,110001,2377,APARTMENT,2025,100005,10000079
50000007,6,Connaught Place,New Delhi,"Premium 6 BHK FLAT in Connaught Place, New Delhi. Built in 2016 with 1736 sq ft area.",I-114,Hauz Khas,110001,1736,FLAT,2016,100002,10000031
50000008,1,Morar,Gwalior,"Premium 1 BHK APARTMENT in Morar, Gwalior. Built in 2019 with 2880 sq ft area.",J-127,Bada,474001,2880,APARTMENT,2019,100003,10000099
50000009,4,City Center,Gwalior,"Premium 4 BHK APARTMENT in City Center, Gwalior. Built in 2019 with 2357 sq ft area.",K-140,Thatipur,474001,2357,APARTMENT,2019,100004,10000004
50000010,3,Morar,Gwalior,"Premium 3 BHK FLAT in Morar, Gwalior. Built in 2022 with 1286 sq ft area.",L-153,Phool Bagh,474001,1286,FLAT,2022,100005,10000085
50000011,4,City Center,Gwalior,"Premium 4 BHK APARTMENT in City Center, Gwalior. Built in 2014 with 1685 sq ft area.",M-166,Thatipur,474001,1685,APARTMENT,2014,100004,10000085
